,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,MiddleSchool_ELA_TotalStudents,MiddleSchool_ELA_Total4s,MiddleSchool_ELA_AIAN4s,MiddleSchool_ELA_Black4s,MiddleSchool_ELA_Hispanic4s,MiddleSchool_ELA_Asian4s,MiddleSchool_ELA_White4s,MiddleSchool_ELA_Multiracial4s,MiddleSchool_ELA_LimitedEng4s,MiddleSchool_ELA_EcoDisadv4s,MiddleSchool_Math_TotalStudents,MiddleSchool_Math_Total4s,MiddleSchool_Math_AIAN4s,MiddleSchool_Math_Black4s,MiddleSchool_Math_Hispanic4s,MiddleSchool_Math_Asian4s,MiddleSchool_Math_White4s,MiddleSchool_Math_Multiracial4s,MiddleSchool_Math_LimitedEng4s,MiddleSchool_Math_EcoDisadv4s,DBN,School,Total_Students,Testers,Offers,Perc_Testers,Perc_Offers,Offer
0,P.S. 034 FRANKLIN D. ROOSEVELT,310100010034,01M034,1,40.726147,-73.975043,"730 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.86,31454.0,0.07,0.05,0.29,0.63,0.04,0.92,0.28,0.85,Approaching Target,0.78,Meeting Target,0.82,Meeting Target,0.73,Approaching Target,0.89,Meeting Target,0.88,Meeting Target,Exceeding Target,2.48,2.47,156,0.05128205128205128,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.019230769230769232,157,0.044585987261146494,0.0,0.0,0.01910828025477707,0.0,0.0,0.0,0.0,0.01910828025477707,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,61.0,10.0,2.5,16.39344262295082,4.098360655737705,1
1,P.S. 140 NATHAN STRAUS,310100010140,01M140,1,40.719128000000005,-73.983283,"123 RIDGE ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.8490000000000001,34889.24,0.14,0.05,0.13,0.78,0.03,0.93,0.27,0.94,Meeting Target,0.91,Approaching Target,0.85,Meeting Target,0.87,Meeting Target,0.83,Meeting Target,0.93,Meeting Target,Meeting Target,2.21,2.27,162,0.030864197530864196,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.006172839506172839,163,0.049079754601226995,0.0,0.006134969325153374,0.018404907975460124,0.006134969325153374,0.0,0.0,0.0,0.03067484662576687,01M140,P.S. 140 NATHAN STRAUS,59.0,10.0,2.5,16.94915254237288,4.23728813559322,1
2,P.S. 184M SHUANG WEN,310100010184,01M184,1,40.711437,-73.985486,"327 CHERRY ST-2ND FL NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.5589999999999999,40809.9,0.17,0.71,0.04,0.12,0.09,0.98,0.02,0.9,,0.81,,0.91,,0.67,Not Meeting Target,0.83,Approaching Target,0.85,Approaching Target,Exceeding Target,3.24,3.63,194,0.38144329896907214,0.0,0.0,0.010309278350515464,0.30412371134020616,0.02577319587628866,0.0,0.0,0.26288659793814434,202,0.5297029702970297,0.0,0.0,0.009900990099009901,0.4603960396039604,0.034653465346534656,0.0,0.024752475247524754,0.40594059405940597,01M184,P.S. 184M SHUANG WEN,80.0,64.0,28.0,80.0,35.0,1
3,P.S. 188 THE ISLAND SCHOOL,310100010188,01M188,1,40.71987,-73.977376,"442 E HOUSTON ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05,06,07,08",PK,08,Yes,0.917,27881.59,0.16,0.02,0.3,0.64,0.04,0.91,0.37,1.0,Meeting Target,1.0,Exceeding Target,0.99,Meeting Target,0.99,Exceeding Target,0.92,Exceeding Target,0.99,Exceeding Target,Meeting Target,2.17,2.32,152,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.013157894736842105,155,0.11612903225806452,0.0,0.0,0.10967741935483871,0.0,0.0,0.0,0.0,0.10967741935483871,01M188,P.S. 188 THE ISLAND SCHOOL,60.0,11.0,2.5,18.333333333333332,4.166666666666666,1
4,ORCHARD COLLEGIATE ACADEMY,310100011292,01M292,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08,09,10,11,12",06,12,Yes,0.8320000000000001,,0.14,0.12,0.26,0.57,0.03,0.84,0.58,0.72,Not Meeting Target,0.77,Approaching Target,0.77,Approaching Target,0.72,Approaching Target,0.76,Approaching Target,0.87,Meeting Target,Approaching Target,1.96,1.83,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0
5,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",310100010301,01M301,1,40.729892,-73.98423100000001,"185 1ST AVE NEW YORK, NY 10003",NEW YORK,10003,"06,07,08",06,08,No,0.7909999999999999,,0.06,0.08,0.29,0.55,0.04,0.9,0.35,0.84,Approaching Target,0.78,Approaching Target,0.81,Approaching Target,0.8,Approaching Target,0.74,Approaching Target,0.87,Approaching Target,Meeting Target,2.29,2.0,140,0.05,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.02857142857142857,138,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",58.0,10.0,2.5,17.24137931034483,4.310344827586207,1
6,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,310100010332,01M332,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08",06,08,No,0.7709999999999999,,0.15,0.05,0.27,0.63,0.04,0.92,0.26,0.92,Exceeding Target,0.96,Meeting Target,0.92,Exceeding Target,0.96,Exceeding Target,0.86,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.26,2.2,91,0.10989010989010989,0.0,0.03296703296703297,0.04395604395604396,0.0,0.0,0.0,0.0,0.02197802197802198,95,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,88.0,13.0,2.5,14.772727272727273,2.840909090909091,1
7,SCHOOL FOR GLOBAL LEADERS,310100010378,01M378,1,40.720185,-73.985957,"145 STANTON ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08",06,08,No,0.764,,0.08,0.15,0.22,0.58,0.02,0.92,0.27,0.79,Meeting Target,0.87,Meeting Target,0.82,Meeting Target,0.77,Approaching Target,0.76,Approaching Target,0.88,Meeting Target,Exceeding Target,2.34,2.48,226,0.05752212389380531,0.0,0.008849557522123894,0.022123893805309734,0.0,0.0,0.0,0.0,0.035398230088495575,227,0.1277533039647577,0.0,0.004405286343612335,0.04405286343612335,0.02643171806167401,0.0,0.0,0.0,0.08370044052863436,01M378,SCHOOL FOR GLOBAL LEADERS,88.0,10.0,2.5,11.363636363636363,2.840909090909091,1
8,EAST SIDE COMMUNITY SCHOOL,310100011450,01M450,1,40.729153000000004,-73.982474,"420 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,"06,07,08,09,10,11,12",06,12,No,0.61,,0.01,0.11,0.21,0.53,0.12,0.97,0.05,0.92,Exceeding Target,0.95,Exceeding Target,0.92,Exceeding Target,0.96,Exceeding Target,0.88,Exceeding Target,0.95,Exceeding Target,Exceeding Target,2.82,2.9,210,0.09047619047619047,0.0,0.009523809523809525,0.01904761904761905,0.014285714285714285,0.0380952380952381,0.0,0.0,0.04285714285714286,204,0.16176470588235295,0.0,0.014705882352941176,0.03431372549019608,0.03431372549019608,0.058823529411764705,0.0,0.0,0.06372549019607843,01M450,EAST SIDE COMMUNITY SCHOOL,106.0,11.0,2.5,10.377358490566039,2.358490566037736,1
9,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",310100011539,01M539,1,40.7195,-73.979239,"111 COLUMBIA ST NEW YORK, NY 10002",NEW YORK,10002,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.257,76833.96,0.0,0.33,0.09,0.11,0.42,0.97,0.03,0.81,Exceeding Target,0.73,Approaching Target,0.85,Meeting Target,0.55,Not Meeting Target,0.81,Approaching Target,0.74,Not Meeting Target,Exceeding Target,3.83,4.03,374,0.6096256684491979,0.0,0.03208556149732621,0.026737967914438502,0.2192513368983957,0.29411764705882354,0.0,0.0,0.07754010695187166,247,0.8137651821862348,0.0,0.04048582995951417,0.044534412955465584,0.242914979757085,0.44129554655870445,0.0,0.0,0.08502024291497975,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",121.0,109.0,77.0,90.08264462809917,63.63636363636363,1
